unit,records_with_primary_quantity,sum_of_primary_counts,exact_count_records,approximate_count_records,exactness_not_assessed_records,source_conflict_records,counting_note
annotated_images,1,5581,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
annotated_instances,1,32633,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
b_scans,4,15446,2,1,0,1,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
documents,2,39933,2,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
embedding_vectors,1,53188,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
examinations,1,1115,0,0,1,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
experimental_eyes,2,47,2,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
eyes,5,2916,5,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
frames,3,2748360,2,1,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
image_pairs,4,1796,4,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
image_report_pairs,1,422,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
images,158,23554728,24,0,134,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
longitudinal_samples,1,178,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
participants,14,44767,6,0,8,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
question_answer_pairs,6,159790,5,1,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
questions,3,101945,3,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
records,3,844576,0,0,3,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
rows,1,18735,0,0,1,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
sentence_pairs,1,3473,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
signals,2,11097,2,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
text_items,2,2605000,2,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
video_clip_instruction_pairs,1,162185,0,0,1,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
video_clips,1,5381,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
videos,8,6871,2,0,6,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
visual_field_tests,2,29383,2,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
visual_fields,1,78,1,0,0,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
volumes,16,7200,1,0,15,0,"Record-level primary quantities are mutually exclusive by unit, but records and cohorts can overlap through documented lineage."
