record_id,canonical_name,primary_category,modalities,catalog_version,catalog_search_cutoff,quantity_review_date,official_source_url,primary_quantity_status,primary_count,primary_unit,primary_scope,primary_exactness,primary_evidence_basis,primary_evidence_url,reported_quantity_count,additional_quantity_count,reported_quantities_json,counting_note
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://figshare.com/s/c2d31f850af14c5b5232,primary_quantity_resolved,705,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://figshare.com/s/c2d31f850af14c5b5232,1,0,"[{""count"": 705, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://figshare.com/s/c2d31f850af14c5b5232"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
adam_challenge,ADAM — Automatic Detection of AMD Challenge,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,primary_quantity_resolved,1200,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,1,0,"[{""count"": 1200, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/3csr652p9y/2,primary_quantity_resolved,100,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://data.mendeley.com/datasets/3csr652p9y/2,1,0,"[{""count"": 100, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://data.mendeley.com/datasets/3csr652p9y/2"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
agar300,AGAR300 Microaneurysm Fundus Image Dataset,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,primary_quantity_resolved,28,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,1,0,"[{""count"": 28, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),oct,oct,0.3.0,2026-07-25,2026-08-01,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,primary_quantity_resolved,4800,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,1,0,"[{""count"": 4800, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
airogs,AIROGS: AI for Robust Glaucoma Screening,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/5793241,primary_quantity_resolved,113893,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://zenodo.org/records/5793241,1,0,"[{""count"": 113893, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://zenodo.org/records/5793241"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,oct,oct,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.6084/m9.figshare.30582035.v1,primary_quantity_resolved,224,volumes,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://doi.org/10.6084/m9.figshare.30582035.v1,1,0,"[{""count"": 224, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://doi.org/10.6084/m9.figshare.30582035.v1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""volumes""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,oct,oct,0.3.0,2026-07-25,2026-08-01,https://www.kaggle.com/datasets/gaoweihao/amd-sd,primary_quantity_resolved,3049,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://www.kaggle.com/datasets/gaoweihao/amd-sd,1,0,"[{""count"": 3049, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/datasets/gaoweihao/amd-sd"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,fundus,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/yj35kjgrv3/1,primary_quantity_resolved,2000,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://data.mendeley.com/datasets/yj35kjgrv3/1,1,0,"[{""count"": 2000, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://data.mendeley.com/datasets/yj35kjgrv3/1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
angioreport,AngioReport Fundus Angiography Report Dataset,multimodal,fundus|fundus_angiography|text,0.3.0,2026-07-25,2026-08-01,https://tianchi.aliyun.com/dataset/170128,primary_quantity_resolved,55361,images,Primary quantity reported in the reviewed catalog source,not_assessed,legacy_catalog_field,https://tianchi.aliyun.com/dataset/170128,1,0,"[{""count"": 55361, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://tianchi.aliyun.com/dataset/170128"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",Quantities with different units are not interchangeable. Related records and derivative components may overlap.
